                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3454,                 2.3814,                0.97524,                0.91808,                0.24524,                 0.2642,                0.16166,                 1.3292,                 5.4159,                 1.1977,             0.00046767,             0.00046767,             0.00046767
                      2,                 1.0086,                0.92923,                0.95624,                0.84203,                0.47007,                0.50136,                0.35442,                 1.2928,                 2.6309,                 1.1595,             0.00093622,             0.00093622,             0.00093622
                      3,                0.90033,                 0.7294,                0.95493,                0.94094,                0.42929,                0.56601,                0.41504,                 1.0622,                 1.5175,                 1.1532,              0.0013969,              0.0013969,              0.0013969
                      4,                 0.8645,                0.66851,                0.95097,                0.91146,                0.50906,                0.57218,                0.44637,                 1.0485,                 1.1868,                 1.1512,              0.0013936,              0.0013936,              0.0013936
                      5,                0.84211,                0.62384,                0.94903,                0.92698,                0.52976,                0.58233,                0.44556,                 1.0645,                 2.1212,                 1.2066,              0.0013818,              0.0013818,              0.0013818
                      6,                 0.8567,                 0.6128,                0.94666,                0.92032,                0.50611,                0.57601,                 0.4617,                0.95594,                 1.4422,                 1.1249,              0.0013701,              0.0013701,              0.0013701
                      7,                0.81011,                0.58402,                0.93516,                0.97101,                0.48417,                0.57371,                0.47589,                0.91012,                 1.1552,                 1.0972,              0.0013583,              0.0013583,              0.0013583
                      8,                0.83942,                0.58745,                0.94574,                0.95352,                0.49664,                 0.5827,                0.47194,                0.88948,                 1.1679,                 1.0801,              0.0013465,              0.0013465,              0.0013465
                      9,                0.79285,                0.56263,                0.94215,                0.97684,                0.51766,                0.60614,                0.49318,                0.92601,                 1.2213,                 1.1162,              0.0013347,              0.0013347,              0.0013347
                     10,                0.78169,                0.55934,                0.93562,                 0.9471,                0.51387,                0.60195,                0.48725,                0.99352,                 1.2672,                 1.1701,              0.0013229,              0.0013229,              0.0013229
                     11,                0.77341,                0.54462,                 0.9427,                0.94483,                 0.5222,                0.61147,                0.48796,                 1.0461,                  1.013,                 1.1541,              0.0013111,              0.0013111,              0.0013111
                     12,                0.76714,                0.53493,                0.94143,                0.95198,                0.48588,                0.62429,                0.48009,                 1.2608,                 1.0099,                  1.214,              0.0012993,              0.0012993,              0.0012993
                     13,                0.77602,                0.54398,                0.92877,                0.95071,                0.51148,                0.60385,                0.48046,                0.85934,                 1.2846,                 1.0972,              0.0012875,              0.0012875,              0.0012875
                     14,                0.75349,                  0.533,                0.93878,                0.97108,                 0.5059,                0.61018,                0.49388,                  1.013,                 1.0026,                 1.1076,              0.0012757,              0.0012757,              0.0012757
                     15,                0.74746,                 0.5184,                0.95219,                 0.9561,                0.48592,                0.58859,                0.47322,                0.85001,                 1.8719,                 1.1134,               0.001264,               0.001264,               0.001264
                     16,                0.75181,                0.52186,                0.93627,                0.58115,                0.54485,                0.60393,                0.47653,                   1.14,                 1.8961,                 1.1444,              0.0012522,              0.0012522,              0.0012522
                     17,                 0.7238,                0.50654,                0.93802,                0.49535,                0.63529,                0.60986,                0.47112,                0.82122,                0.83634,                 1.1037,              0.0012404,              0.0012404,              0.0012404
                     18,                0.73391,                0.50802,                0.94238,                0.92661,                0.52514,                0.58636,                0.43673,                 1.1181,                 1.5604,                 1.1504,              0.0012286,              0.0012286,              0.0012286
                     19,                0.74549,                0.51875,                0.93453,                0.92687,                0.54062,                0.59762,                0.49131,                 1.0228,                 1.3251,                 1.1156,              0.0012168,              0.0012168,              0.0012168
                     20,                0.72099,                0.49911,                0.94681,                0.93319,                0.51035,                0.61739,                0.49746,                0.97595,                0.91828,                 1.1282,               0.001205,               0.001205,               0.001205
                     21,                0.71428,                0.49201,                0.94623,                0.56663,                0.66863,                0.61074,                0.48864,                0.96629,                 1.6142,                 1.1211,              0.0011932,              0.0011932,              0.0011932
                     22,                0.71785,                0.49371,                0.92291,                0.94141,                0.52339,                0.59507,                0.48518,                0.82282,                   1.51,                 1.1177,              0.0011814,              0.0011814,              0.0011814
                     23,                0.73019,                0.50228,                0.93782,                0.92696,                0.51029,                0.58705,                0.47624,                 0.9225,                 1.5721,                 1.1219,              0.0011696,              0.0011696,              0.0011696
                     24,                0.71565,                0.49453,                0.94161,                0.93232,                0.50553,                0.58915,                0.45438,                 1.2617,                  1.669,                 1.1579,              0.0011578,              0.0011578,              0.0011578
                     25,                0.72863,                0.49592,                0.94478,                0.64419,                0.58526,                0.62932,                0.50053,                0.88971,                0.84238,                 1.1379,              0.0011461,              0.0011461,              0.0011461
                     26,                 0.7178,                0.49309,                0.93909,                0.64175,                0.61975,                0.62811,                0.47185,                 1.1848,                  1.021,                 1.1679,              0.0011343,              0.0011343,              0.0011343
                     27,                0.70522,                0.47608,                0.92547,                0.66046,                0.70535,                0.67068,                0.53239,                0.77342,                0.82579,                 1.0986,              0.0011225,              0.0011225,              0.0011225
                     28,                0.69714,                0.47389,                0.93689,                0.64991,                 0.7222,                0.64469,                0.51209,                0.82728,                 1.1543,                 1.1111,              0.0011107,              0.0011107,              0.0011107
                     29,                0.70645,                0.47996,                 0.9313,                0.55062,                0.69657,                0.61549,                0.48428,                0.89335,                 1.2336,                 1.1504,              0.0010989,              0.0010989,              0.0010989
                     30,                0.69644,                0.47144,                0.93583,                0.52053,                0.61204,                0.67013,                0.51953,                0.92879,                0.97358,                 1.1755,              0.0010871,              0.0010871,              0.0010871
                     31,                0.70344,                0.47922,                0.92924,                0.94215,                0.47577,                0.65244,                0.49755,                 1.0478,                 1.3551,                 1.1644,              0.0010753,              0.0010753,              0.0010753
                     32,                0.68466,                0.46841,                 0.9323,                0.71542,                0.62815,                0.66549,                0.53075,                0.84768,                0.98054,                 1.1175,              0.0010635,              0.0010635,              0.0010635
                     33,                0.69334,                0.47132,                0.93573,                0.73518,                0.62554,                0.70304,                0.54846,                 0.8497,                0.98383,                 1.0986,              0.0010517,              0.0010517,              0.0010517
                     34,                 0.6778,                0.46961,                0.93769,                0.72009,                0.61478,                0.68302,                0.53416,                0.94413,                 1.1793,                 1.1577,                0.00104,                0.00104,                0.00104
                     35,                0.68026,                0.46674,                  0.939,                0.93532,                0.48588,                0.61335,                0.48437,                0.98737,                 1.6226,                 1.1643,              0.0010282,              0.0010282,              0.0010282
                     36,                0.68849,                0.46947,                0.93408,                0.61964,                0.67492,                0.65015,                0.50397,                 1.0802,                 1.1523,                 1.1403,              0.0010164,              0.0010164,              0.0010164
                     37,                0.67402,                0.46107,                0.94045,                0.65396,                0.60728,                0.64486,                0.52667,                0.80541,                  1.012,                 1.1017,              0.0010046,              0.0010046,              0.0010046
                     38,                0.65928,                0.44994,                0.93809,                0.69287,                0.68704,                0.71958,                0.54837,                0.92035,                 1.1901,                 1.1113,              0.0009928,              0.0009928,              0.0009928
                     39,                 0.6668,                0.45371,                0.92941,                0.52973,                0.76916,                0.71948,                0.55379,                0.84744,                 1.1783,                 1.1184,             0.00098101,             0.00098101,             0.00098101
                     40,                0.68976,                0.46179,                0.92261,                0.62496,                 0.7591,                0.68328,                0.53137,                0.92852,                 1.4032,                 1.1359,             0.00096922,             0.00096922,             0.00096922
                     41,                0.67515,                0.45822,                0.92752,                0.94386,                0.48648,                0.64028,                0.50791,                 1.0213,                 1.2322,                 1.1401,             0.00095743,             0.00095743,             0.00095743
                     42,                0.66601,                0.44782,                0.92289,                0.94063,                0.51464,                0.68595,                0.56438,                0.84504,                 0.8597,                 1.1191,             0.00094564,             0.00094564,             0.00094564
                     43,                0.67273,                0.44938,                 0.9264,                0.60938,                0.65847,                0.65536,                0.51727,                  0.929,                0.90495,                 1.1291,             0.00093385,             0.00093385,             0.00093385
                     44,                0.68177,                0.45799,                0.95987,                0.51105,                0.66276,                0.64305,                0.49444,                 1.1629,                 1.3016,                 1.1909,             0.00092206,             0.00092206,             0.00092206
                     45,                0.66157,                0.44752,                0.93379,                0.57774,                0.74476,                0.69281,                 0.5516,                0.97574,                 1.1751,                 1.1233,             0.00091027,             0.00091027,             0.00091027
                     46,                0.65407,                0.44831,                0.91995,                 0.5943,                 0.6722,                0.66264,                0.52009,                 1.0678,                 1.0615,                  1.162,             0.00089848,             0.00089848,             0.00089848
                     47,                0.68149,                0.45985,                0.91074,                0.68599,                0.78228,                0.72135,                0.57375,                0.85851,                0.83523,                 1.1085,             0.00088669,             0.00088669,             0.00088669
                     48,                0.66589,                0.45116,                0.94146,                0.66491,                0.68347,                0.67419,                0.52766,                0.94294,                 1.6607,                 1.1333,             0.00087491,             0.00087491,             0.00087491
                     49,                0.65878,                0.44708,                0.93794,                0.62317,                  0.697,                0.67325,                0.53136,                0.88915,                 1.0824,                  1.125,             0.00086312,             0.00086312,             0.00086312
                     50,                0.64746,                0.43896,                0.91955,                0.49507,                0.65728,                0.66392,                0.53122,                 1.0274,                 1.0476,                  1.131,             0.00085133,             0.00085133,             0.00085133
                     51,                0.65041,                0.43607,                0.93165,                0.64969,                0.62815,                0.67166,                0.53137,                0.91748,                0.94926,                 1.1337,             0.00083954,             0.00083954,             0.00083954
                     52,                 0.6531,                0.44361,                0.91674,                0.95253,                0.52339,                0.65963,                0.52468,                0.92279,                 1.3072,                 1.1268,             0.00082775,             0.00082775,             0.00082775
                     53,                0.65938,                0.43961,                0.94176,                0.59234,                0.73783,                0.69591,                0.53561,                 1.0019,                 1.2254,                 1.1651,             0.00081596,             0.00081596,             0.00081596
                     54,                0.63917,                0.42981,                0.93719,                0.49678,                0.73817,                 0.6822,                0.53577,                0.96152,                 1.1412,                 1.1448,             0.00080417,             0.00080417,             0.00080417
                     55,                0.67003,                0.44792,                0.92737,                0.90181,                0.57007,                0.69258,                0.54595,                 1.0135,                 1.0767,                 1.1628,             0.00079238,             0.00079238,             0.00079238
                     56,                0.66541,                0.44419,                0.92685,                 0.5637,                0.69888,                0.70573,                0.55722,                  0.808,                 1.0018,                 1.0778,             0.00078059,             0.00078059,             0.00078059
                     57,                0.64274,                0.43212,                0.93252,                0.58355,                0.73817,                0.71901,                0.57282,                0.90736,                 1.1164,                 1.1434,              0.0007688,              0.0007688,              0.0007688
                     58,                0.64627,                  0.433,                0.92718,                0.54345,                0.69412,                0.68774,                0.55494,                0.87056,                0.93502,                  1.098,             0.00075701,             0.00075701,             0.00075701
                     59,                0.64455,                0.43715,                0.94367,                0.71837,                0.67991,                0.68447,                0.53181,                0.93816,                 1.0792,                 1.1528,             0.00074522,             0.00074522,             0.00074522
                     60,                  0.646,                0.42497,                0.92471,                0.66283,                0.68228,                0.70317,                0.55192,                0.86608,                0.88401,                 1.1298,             0.00073343,             0.00073343,             0.00073343
                     61,                0.63494,                0.43059,                0.92401,                0.64531,                0.72982,                0.74688,                 0.5774,                0.81965,                0.90726,                 1.1159,             0.00072164,             0.00072164,             0.00072164
                     62,                0.64557,                0.43922,                0.92532,                0.66869,                 0.7007,                0.71287,                0.54824,                0.95401,                 1.1772,                 1.1258,             0.00070986,             0.00070986,             0.00070986
                     63,                0.64028,                0.42666,                0.92555,                0.67562,                0.75423,                0.74369,                0.57713,                0.88728,                 0.8922,                 1.1098,             0.00069807,             0.00069807,             0.00069807
                     64,                0.63251,                0.42565,                0.93115,                0.69831,                0.70298,                0.65202,                0.51076,                0.98421,                 1.6434,                 1.1237,             0.00068628,             0.00068628,             0.00068628
                     65,                 0.6392,                0.42473,                0.92902,                0.59517,                0.69658,                0.71157,                0.57531,                0.80789,                 1.0708,                 1.1059,             0.00067449,             0.00067449,             0.00067449
                     66,                0.64401,                0.42898,                0.92355,                0.57175,                0.71618,                 0.6804,                0.55344,                0.83301,                 1.0245,                 1.1008,              0.0006627,              0.0006627,              0.0006627
                     67,                 0.6409,                0.42476,                0.93959,                0.64854,                0.77017,                0.69146,                0.55421,                0.87549,                0.88678,                 1.1144,             0.00065091,             0.00065091,             0.00065091
                     68,                0.64369,                0.42539,                0.93072,                0.72738,                0.58197,                0.68363,                0.54168,                0.89293,                 1.0137,                 1.1179,             0.00063912,             0.00063912,             0.00063912
                     69,                0.62534,                 0.4161,                0.93773,                0.66631,                0.78147,                0.73818,                0.59355,                 0.8037,                0.87958,                 1.1096,             0.00062733,             0.00062733,             0.00062733
                     70,                0.62115,                0.41528,                0.92865,                0.67333,                0.63943,                0.71327,                0.56486,                0.81551,                 1.0214,                 1.1104,             0.00061554,             0.00061554,             0.00061554
                     71,                0.61713,                0.41159,                0.92589,                0.58329,                0.73704,                0.71705,                0.56218,                0.91527,                 1.0081,                 1.1299,             0.00060375,             0.00060375,             0.00060375
                     72,                0.64453,                0.42287,                0.93313,                0.71441,                0.60252,                0.71318,                0.55476,                0.94988,                 1.2546,                 1.1057,             0.00059196,             0.00059196,             0.00059196
                     73,                0.61137,                0.41101,                0.92782,                0.59705,                0.74716,                0.71882,                0.57316,                0.88213,                 1.0694,                 1.1258,             0.00058017,             0.00058017,             0.00058017
                     74,                0.62613,                0.41656,                0.93044,                0.73432,                0.67792,                0.70512,                0.55434,                0.86582,                0.90288,                 1.1264,             0.00056838,             0.00056838,             0.00056838
                     75,                0.61619,                 0.4106,                0.93227,                0.82978,                0.61868,                0.73881,                0.57341,                0.89688,                0.84616,                 1.1237,              0.0005566,              0.0005566,              0.0005566
                     76,                0.61576,                0.41521,                0.92923,                0.81402,                0.63969,                0.74954,                0.59118,                0.92775,                0.76248,                 1.1191,             0.00054481,             0.00054481,             0.00054481
                     77,                0.62585,                0.41651,                0.92526,                0.76905,                0.59482,                0.72395,                0.57907,                0.84603,                0.89008,                 1.0946,             0.00053302,             0.00053302,             0.00053302
                     78,                0.63997,                0.42355,                0.92357,                0.67552,                0.70546,                0.74248,                  0.585,                0.93427,                0.87057,                 1.1342,             0.00052123,             0.00052123,             0.00052123
                     79,                0.61997,                0.40889,                0.92414,                0.71086,                0.66313,                0.72276,                0.56633,                0.89554,                0.91821,                 1.1241,             0.00050944,             0.00050944,             0.00050944
                     80,                0.63038,                0.41552,                0.91548,                0.67692,                0.66408,                0.71723,                0.57025,                0.81928,                0.87483,                 1.1277,             0.00049765,             0.00049765,             0.00049765
                     81,                0.61872,                0.41279,                0.93592,                0.62565,                0.68526,                0.69749,                0.56371,                0.81561,                0.97173,                  1.107,             0.00048586,             0.00048586,             0.00048586
                     82,                0.61742,                0.40738,                0.93131,                0.67653,                0.72028,                  0.724,                0.57462,                0.87732,                 0.9063,                 1.1226,             0.00047407,             0.00047407,             0.00047407
                     83,                0.61979,                0.40747,                0.92735,                0.67336,                0.65017,                0.69976,                0.56777,                0.85632,                0.97602,                 1.1109,             0.00046228,             0.00046228,             0.00046228
                     84,                0.61947,                 0.4089,                 0.9271,                0.64627,                 0.7405,                0.71937,                0.59037,                0.83298,                0.86308,                 1.1167,             0.00045049,             0.00045049,             0.00045049
                     85,                0.61465,                0.40855,                 0.9268,                0.74455,                 0.6799,                  0.736,                0.59728,                0.85037,                 1.0113,                 1.1077,              0.0004387,              0.0004387,              0.0004387
                     86,                0.60807,                0.40352,                 0.9212,                0.77071,                0.63585,                0.72608,                0.58105,                0.83186,                0.98813,                 1.1147,             0.00042691,             0.00042691,             0.00042691
                     87,                0.61122,                0.40507,                0.92734,                0.69008,                0.68273,                0.71979,                0.56975,                0.91003,                0.97522,                  1.124,             0.00041512,             0.00041512,             0.00041512
                     88,                0.60809,                0.39953,                0.92488,                0.69611,                0.78347,                0.77512,                0.61935,                0.86031,                0.85478,                 1.1281,             0.00040334,             0.00040334,             0.00040334
                     89,                0.60865,                0.40202,                 0.9239,                0.79851,                0.71611,                0.76392,                0.60841,                0.82059,                 1.0016,                 1.1133,             0.00039155,             0.00039155,             0.00039155
                     90,                0.61697,                0.41382,                0.91842,                0.66247,                0.79798,                0.76096,                0.59958,                0.90876,                0.94368,                 1.1181,             0.00037976,             0.00037976,             0.00037976
                     91,                0.59906,                0.39454,                0.93498,                0.77755,                0.77157,                0.81137,                0.63698,                0.76807,                0.78222,                 1.0952,             0.00036797,             0.00036797,             0.00036797
                     92,                0.58628,                0.38801,                0.93335,                0.84395,                0.72155,                0.81835,                0.65428,                0.74552,                0.89412,                 1.0865,             0.00035618,             0.00035618,             0.00035618
                     93,                0.60884,                0.40325,                0.93184,                0.79095,                0.77674,                0.81126,                0.64274,                 0.8461,                0.98934,                 1.1233,             0.00034439,             0.00034439,             0.00034439
                     94,                0.59788,                0.39836,                0.92605,                0.81097,                0.77293,                0.80526,                 0.6394,                0.85616,                0.79732,                 1.1328,              0.0003326,              0.0003326,              0.0003326
                     95,                0.60545,                0.40145,                0.91382,                0.70538,                0.80788,                0.77966,                0.62607,                0.83505,                0.87368,                 1.1214,             0.00032081,             0.00032081,             0.00032081
                     96,                0.58894,                0.39236,                0.91945,                0.78123,                0.77395,                0.79694,                0.64017,                0.80488,                0.84994,                 1.1079,             0.00030902,             0.00030902,             0.00030902
                     97,                0.59433,                0.39194,                0.91722,                0.85438,                0.72551,                0.82923,                0.65286,                0.78112,                0.75533,                 1.1001,             0.00029723,             0.00029723,             0.00029723
                     98,                0.60143,                0.39912,                0.90939,                0.80343,                0.75847,                 0.8348,                0.66514,                 0.7495,                0.73946,                 1.0912,             0.00028544,             0.00028544,             0.00028544
                     99,                0.59819,                0.39375,                0.91134,                0.81004,                 0.8362,                 0.8657,                0.68783,                0.72281,                0.63623,                 1.0836,             0.00027365,             0.00027365,             0.00027365
                    100,                0.60135,                0.39889,                 0.9271,                 0.7538,                0.81912,                0.79992,                 0.6279,                0.83086,                0.74224,                 1.1139,             0.00026186,             0.00026186,             0.00026186
                    101,                0.59403,                0.39645,                0.94037,                 0.7149,                0.83756,                0.83918,                0.65782,                0.88075,                0.77517,                 1.1269,             0.00025007,             0.00025007,             0.00025007
                    102,                0.58937,                0.39251,                0.92294,                0.80739,                0.77514,                0.81718,                0.65041,                0.76815,                 0.7999,                  1.098,             0.00023829,             0.00023829,             0.00023829
                    103,                0.59141,                0.38867,                0.92624,                0.79634,                0.82038,                0.82416,                0.63774,                0.84857,                0.89449,                 1.1258,              0.0002265,              0.0002265,              0.0002265
                    104,                0.58457,                0.38334,                0.92745,                0.72044,                0.80308,                0.81356,                0.63451,                0.88783,                0.83539,                 1.1474,             0.00021471,             0.00021471,             0.00021471
                    105,                0.59214,                0.39196,                0.92555,                0.75578,                0.80247,                0.80079,                0.62714,                0.85642,                  0.854,                 1.1327,             0.00020292,             0.00020292,             0.00020292
                    106,                0.58772,                0.38802,                0.91701,                0.70554,                0.81448,                0.79435,                0.61458,                0.86133,                 0.8493,                 1.1289,             0.00019113,             0.00019113,             0.00019113
                    107,                0.59537,                0.38646,                0.92001,                 0.7634,                0.81454,                0.78452,                0.62912,                0.81492,                0.76801,                 1.0992,             0.00017934,             0.00017934,             0.00017934
                    108,                0.58606,                0.38456,                0.92388,                0.76941,                0.73228,                0.76446,                0.61091,                0.76139,                0.73264,                 1.1007,             0.00016755,             0.00016755,             0.00016755
                    109,                0.59044,                0.39143,                0.92233,                0.71412,                0.80613,                0.77769,                0.62152,                0.79029,                0.73542,                 1.0986,             0.00015576,             0.00015576,             0.00015576
                    110,                0.58484,                0.38599,                0.92239,                0.74208,                0.81912,                0.77405,                0.61823,                0.75934,                0.68714,                 1.0911,             0.00014397,             0.00014397,             0.00014397
                    111,                0.55205,                0.37345,                0.93716,                0.78689,                0.72356,                0.74133,                0.58927,                0.81953,                0.80984,                 1.1116,             0.00013218,             0.00013218,             0.00013218
                    112,                0.54974,                 0.3699,                0.93799,                0.69651,                0.74951,                0.73973,                0.59478,                0.83363,                0.86872,                  1.117,             0.00012039,             0.00012039,             0.00012039
                    113,                0.55671,                0.36788,                0.93639,                0.76206,                0.74951,                0.74514,                0.58881,                0.83485,                0.85147,                 1.1263,              0.0001086,              0.0001086,              0.0001086
                    114,                0.54054,                  0.361,                0.93298,                0.79069,                0.79832,                0.77475,                 0.6267,                0.79811,                0.78076,                  1.103,             9.6815e-05,             9.6815e-05,             9.6815e-05
                    115,                0.54916,                0.36345,                0.94136,                0.81579,                0.84167,                0.80762,                0.65208,                0.81716,                0.79025,                 1.1113,             8.5026e-05,             8.5026e-05,             8.5026e-05
                    116,                0.54638,                0.36339,                0.92651,                0.77933,                0.79594,                0.80444,                0.65312,                0.83795,                0.83887,                 1.1201,             7.3236e-05,             7.3236e-05,             7.3236e-05
                    117,                0.53899,                0.35932,                0.93171,                0.80613,                  0.785,                0.79722,                0.64106,                0.83736,                0.82814,                 1.1205,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    118,                0.54617,                0.36119,                0.94142,                0.79144,                0.79135,                0.81653,                0.65783,                0.84905,                0.79571,                 1.1215,             4.9658e-05,             4.9658e-05,             4.9658e-05
                    119,                0.53293,                0.35601,                0.94946,                0.78883,                0.79197,                0.82976,                0.66026,                0.85704,                0.80066,                 1.1243,             3.7869e-05,             3.7869e-05,             3.7869e-05
                    120,                0.54255,                0.35657,                0.94089,                0.75145,                0.79028,                0.83135,                0.66689,                0.82823,                0.78768,                  1.116,             2.6079e-05,             2.6079e-05,             2.6079e-05
